,tweets,labels
0,"@ user escribió un libro resultón , con gracejo , que mueve sentimientos por doquier . la invitaron a hablar de ello ante presidencia , lo preparó bien para impactar . lo logró . la intelectualidad de izquierdas , solita , hizo el resto . le hizo la publi , le generó el hueco , la consagró .",2
1,@ user lo prometido es deuda . aquí la foto : .,2
2,@ user bastante ñoña . me jarté a llorar . de lo más terapéutico .,2
3,"@ user no sé nada acerca de eso , pero está claro que vulnerar un 'off the record ' no es manera de cuidar a periodistas `` cercanos '' , como debe hacer un portavoz en respeto a su responsabilidad organizativa . eso es de primero de comunicación , y a iglesias no se le escapa , te lo aseguro .",2
4,"@ user ¿en qué medio tienen su podcast esos , dice ud . ?",2
5,"dos vueltas al sol ya , manu . hijo de la tormenta . qué confusos y agolpados los recuerdos de esa noche infinita . el pánico , la tensión , la incertidumbre y la euforia final , tan pegadas . gracias por cuanto nos enseñas cada día . dulces sueños , ratón . mañana seguimos . feliz cumple .",2
6,"twitter no va a desaparecer , decir eso es desconocer cómo funciona . lo que ya está pasando ( e irá a peor ) es su degeneración : veremos una selección cada vez más absurda y pobre de mensajes en nuestro timeline , y sólo quienes inviertan mucho en promoción lograrán grandes alcances .",2
7,"@ user ni sé quién es , ni nos conocemos de nada , ni logro adivinar de dónde procede su reproche arbitrario y errático . feliz sábado , y buena terapia tenga ud .",2
8,"@ user bueeeeno .... en ello estamos . subterfugios , tienen muchos , por desgracia . el de esta noticia les funciona bien , por ejemplo . ganar una plaza y que te dure un año , y luego a la calle .",2
9,"@ user sensación correcta . o haces méritos y cv para progresar y asentarte profesionalmente , o los haces para el impacto cultural y reconocimiento público . son incompatibles , nadie ( joven ) destaca en ambos ámbitos , es imposible .",2
10,"lo digo con cariño a las amigas y amigos que con su mejor intención han analizado el viral . respeto su análisis , pero creo que la reacción colectiva ( lluvia de columnas acusatorias de protofascismo y campaña de acoso en redes ) ha sido algo desproporcionada y contraproducente .",2
11,@ user si por premisa te referías a que muchos intelectuales del primer grupo ( denunciantes de la ciencia como herramienta de dominación ) hoy están en el segundo ( combatiendo en negacionismo con ciencia ) . que así te he entendido yo . y me parece una obviedad que eso se da tal cual .,2
12,"@ user creo que no `` es '' estrictamente de ninguno de los dos , en el sentido de pertenencia identitaria . ¡por suerte para la izquierda ! pero es un poco de los dos , y también de podemos , en el sentido de vinculación socialmente percibida e inevitable . y ese delicado equilibrio debe cuidar .",2
13,"¿pero qué maravilla estoy leyendo y por qué no he llegado antes a maggie o'farrell ? novela coral bien tramada , delicias estilísticas que sorprenden , narrativa genialmente dosificada , que atrapa , delicadeza y brutalidad danzando en armonía , tacto , humanidad , agudeza . y veraniega .",2
14,"@ user con 80 estudiantes por clase , no es fácil.🤔 . a 15 min . de exposición cada uno : 20 horas . una semana entera , si dedicas 4h diarias .",2
15,"en securitas direct dicen que hoy , si bajas a por el pan , igual te okupan la casa . pero lo cierto es que yo me he dejado todo el día la mochila en la cesta de la bici , aparcada en plena calle , y por la noche aquí siguen . que también somos esto , madrid , que a veces se nos olvida .",2
16,@ user se podrá descargar gratis en cuanto l @ s compañer @ s del archivo la suban . la colgaré aquí y te envío copia . 😉,2
17,"pues nos está quedando una esfera pública que da unas ganas locas de encerrarse en la privada , ¿no ?",2
18,informar sobre barbaries y sentir que sirve de poco . presiones internas . amenazas externas . denuncias. . exposición pública. . ¿por qué hay `` muchas compañeras quemadas que quieren dejar su trabajo en [ hashtag ] o lo hacen asqueadas '' ? 👇🏻 .,2
19,"@ user de la comunicación sin más , diría . no en compol , ni en consultoras privadas , claro , donde impera un positivismo pragmático que no desprecia hacer pleno uso de estudios cualitativos e interpretativos , donde más sirven . sí en la academia , sin duda .",2
20,"@ user hasta cuándo seguiremos con las horrorosas portadas oficiales , todas iguales .",2
21,"de lo mejor que se puede leer hoy para entender , sin aspavientos , el presente , la historia reciente y el futuro inmediato de las opciones reales que va a tener la izquierda en las próximas convocatorias electorales . lectura más que recomendable . 👇🏻",2
22,"no me puedo creer que nadie haya inventado aún el cowork con guardería , o piscina de bolas/animación infantil con mesa a la vista para que papi curre . ¿qué hacéis cuando llega un deadline y no hay escuela infantil ni abuel @ s de guardia ? 😰 . [ hashtag ]",2
23,"los que defendéis contra viento y marea que pablo iglesias no aludía a [ politician ] cuando usaba las palabras `` miserable '' , `` cobarde '' y `` estúpido '' , podéis tranquilizaros . veréis qué pronto sale el líder y lo aclara todo desde su podcast , y santas pascuas . ahora . ahorita . ya de ya .",2
24,@ user `` es el alcalde el que quiere que sean los vecinos el alcalde '',2
25,"@ user para la sanidad de madrid , muy privatizada , no hay análisis científicos comparativos similares , por la sencilla razón de que los datos no están publicados , hay un problema de opacidad . las empresas privadas no son transparentes , revelan mucha menos información . busque ud . alguno .",2
26,"hablo de estos ejemplos , sin ir más lejos . ¿los periodistas son excelentes u horripilantes según nos traten ? 🤔 .",2
27,"pues , os guste o no , la posición oficial de podemos ahora mismo es que yolanda es `` miserable , cobarde y estúpida '' , y también que les debe respeto y que les vaya haciendo un hueco bien alto en las listas . que todo lo demás es ser cloaca . machoalfismo pasivo-agresivo , de manual .",2
28,"en el contexto cultural actual , a quien más dañan los vomitivos insultos proferidos ayer contra [ politician ] , es a quienes callan , a quienes los dicen , y sobre todo a la institución que permite decirlos y agotar el turno de palabra . solidaridad total con quien los sufre . basta ya .",2
29,@ user por lo que veo ... un poco . pero no pretendía !,2
30,"@ user pero ñoña bien , tampoco insulsa . si te gusta el cine surcoreano , es el prota de parásitos , y está fantástico . le fue muy bien en cannes y san sebastián . engancha , con recursos facilones , pero lo hace . no es una peli para analizar , es para llorársela toda .",2
31,"@ user ambos . lucía méndez ha dejado de coquetear tanto con la `` nueva política '' y podemos ( es decir , pit , porque ¿hay diferencia ? ) ha pasado a confrontar individual y personalmente con much @ s periodistas y medios que hasta hace poco consideraba cercan @ s e invitaba a sus tertulias .",2
32,por qué es importante ( aunque poco habitual ) que lxs periodistas estemos sindicadxs . el hilo.👇🏻,2
