step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,452,4,0.17161630848714707,0.0,0.0,0.17859445998391316,0.0,0.0,,
2,968,8,0.14519614383008622,0.0,0.0,,,,,
3,1388,12,0.10197566922528495,0.0,0.0,,,,,
4,1840,16,0.07392011369940689,0.0,0.0,,,,,
5,2356,20,0.045157656018315326,0.25,0.25,,,,,
6,2840,24,0.033956459373971785,0.0,0.0,,,,,
7,3196,28,0.04742484744409921,0.5,0.5,,,,,
8,3552,32,0.046456065021788666,0.25,0.25,,,,,
9,3844,36,0.05096262974648854,0.25,0.25,0.050807874728506786,0.0,0.0,,
10,4136,40,0.055951658579906506,0.0,0.0,,,,,
11,4524,44,0.033925836969035575,0.5,0.5,,,,,
12,4816,48,0.044001415099713385,0.25,0.25,,,,,
13,4980,52,0.060438110158196647,0.25,0.25,,,,,
14,5432,56,0.03359271127502974,0.5,0.5,,,,,
15,5788,60,0.04450290246907818,0.5,0.5,,,,,
16,6176,64,0.03287603350582154,0.75,0.75,,,,,
17,6564,68,0.03659081366298475,0.5,0.5,0.03997500208238177,0.75,0.75,,
18,6888,72,0.033979228218701106,0.25,0.25,,,,,
19,7340,76,0.025457334270431845,0.5,0.5,,,,,
20,7824,80,0.0416945015726075,0.5,0.5,,,,,
21,8212,84,0.037230842821302304,0.25,0.25,,,,,
22,8632,88,0.03938529711369448,0.25,0.25,,,,,
23,9084,92,0.033905901528568004,0.0,0.0,,,,,
24,9568,96,0.042218911248692016,0.0,0.0,,,,,
25,9828,100,0.043235265285027254,0.0,0.0,0.02841281094992367,0.0,0.0,,
26,10216,104,0.03468048857495868,0.75,0.75,,,,,
27,10572,108,0.0357475161049367,0.25,0.25,,,,,
28,11024,112,0.03410091217471355,0.25,0.25,,,,,
29,11412,116,0.03483578863936752,0.75,0.75,,,,,
30,11800,120,0.03511446301790633,0.25,0.25,,,,,
31,12220,124,0.028627067817722212,0.5,0.5,,,,,
32,12576,128,0.036086561654949285,0.25,0.25,,,,,
33,12996,132,0.031347693888052836,0.25,0.25,0.0440224166891492,0.0,0.0,,
34,13512,136,0.04477763704892368,0.0,0.0,,,,,
35,13932,140,0.03820058171878233,0.0,0.0,,,,,
36,14224,144,0.0409737837782662,0.5,0.5,,,,,
37,14612,148,0.03238693480287717,0.25,0.25,,,,,
